"group","n_paired","cohens_d","wilcox_p","t_p","power_pct","n_for_80pct","n_for_90pct"
"All sites",6,-0.393,0.4017,0.3797,12.4,53,70
"neutral",3,-0.287,1,0.6684,6.1,98,130
