"group","n_paired","cohens_d","wilcox_p","t_p","power_pct","n_for_80pct","n_for_90pct"
"all sites",56,0.539,0,2e-04,97.7,30,39
"negative",16,0.603,0.0323,0.0291,61.6,24,31
"positive",19,0.471,0.0515,0.0549,49.3,38,50
"neutral",21,0.566,0.0064,0.0173,69.4,27,35
