"SampleID","avg_NPOC","avg_TN","SRP_uM","SRP_mgL","Q..L.s.","Date","Site","month_year","mean_slope","area_km2","Low","Moderate","High","pct_burned","Moderate_High","Fluoride_mgL","Chloride_mgL","Sulfate_mgL","Bromide_mgL","NitrateN_mgL","time_since","biome_type","ignition_date","burn_period","z_pct_burn","z_mean_slope","z_time_since","z_mod_high"
"R102",0.4707,0.1595,0.01797379497,0.0005566484302209,182.077024,2025-01-11,"bigrock","01.25",30.9356496711913,59.4726369406827,22.36,10.884,2.101,35.345,12.985,0.206225,3.406425,48.1775,0.367125,0.19145,4.32328767123288,"montane",2020-09-06,"older_burn",-0.193060907410932,1.1564904138468,-0.548501162328001,-0.624634321679703
"R103",0.825233333333333,0.176966666666667,1.42072973845657,0.044,16.99008,2025-01-02,"santiago","01.25",30.2474959955051,32.6311030982699,NA,NA,NA,23.7980499870094,23.7980499870094,0.265166666666667,28.2063333333333,202.757166666667,0.012,0.0826666666666667,0.312328767123288,"coastal",2024-09-09,"24_25_burn",-0.52194864979834,1.04617070222813,-0.803292121347416,-0.257051414894911
"R104",1.24233333333333,0.402566666666667,1.013544464,0.03138947205008,NA,2025-01-04,"strawberry","01.25",25.1517795853814,16.8258371068259,0.295,0.105,0.005,0.406,0.11,0.0737,9.45325,3.6148,0.00275,0.47415,40,"montane",2018-07-25,"older_burn",-1.18821623573105,0.229263106268887,1.71781568763841,-1.06231193627872
"R105",1.46366666666667,0.188833333333333,0.06706896053,0.0020771257076141,50.156132,2025-01-10,"waterman","01.25",26.7884926871036,0.0918231790665108,NA,NA,NA,0.871002977673382,0.871002977673382,0.0982333333333333,12.1888333333333,31.4054333333333,0.254866666666667,0.3641,40,"montane",2021-06-28,"older_burn",-1.17497171840324,0.491648854923686,1.71781568763841,-1.0364421135237
"R106",3.80733333333333,0.2359,3.49800882574535,0.108333333333333,1.63059953039093,2025-01-05,"zuma","01.25",18.8910987905283,6.92647273861432,34.924,51.234,2.57,88.728,53.804,0.2235,111.987,222.21275,0.1325,0.0012,6.15342465753425,"coastal",2018-11-08,"older_burn",1.32742842805124,-0.774402970405015,-0.432244085398377,0.762982187082803
"R107",0.751666666666667,0.07981,0.03613412642,0.0011190738952274,36.9062293333332,2025-01-02,"coldwater","01.25",34.7287640588841,10.9541139614207,22.794,33.667,34.24,90.701,67.907,0.181,6.0335,63.5875,0.9105,0.60525,6.41095890410959,"coastal",2018-08-06,"older_burn",1.38362469762895,1.76457448019957,-0.415884556608879,1.24240489766066
"R108",3.27766666666667,0.199166666666667,0.5511898869,0.017070350797293,3.73846264400112,2025-01-05,"santaynez","01.25",23.0759953397363,0.387108115834147,NA,NA,NA,58.0699811968997,58.0699811968997,1.16,87.887,635.806,0.034,0.014,0,"coastal",2025-01-07,"24_25_burn",0.454206791265882,-0.103511283308822,-0.82313240094319,0.9080015637184
"R109",1.00116666666667,0.06302,0.5514981457,0.017079897572329,2.64628860770485,2025-01-07,"pine","01.25",24.3895461968214,3.40247477641918,16.501,35.07,35.53,87.101,70.6,0.6847,11.5010333333333,37.7684333333333,0.433366666666667,0.21615,4.39178082191781,"montane",2020-08-12,"older_burn",1.28108715557129,0.10706748255416,-0.544150223820156,1.33395175716475
"R110",0.3955,0.177233333333333,0.06493725895,0.0020111069096815,197.95213,2025-01-02,"lytle","01.25",29.8006911316897,119.543805261549,NA,NA,NA,9.92384966251227,9.92384966251227,0.382466666666667,1.7924,27.7913666666667,0.31185,0.349433333333333,0.487671232876712,"montane",2024-07-07,"24_25_burn",-0.917122649600968,0.974542248486641,-0.792153718767332,-0.728696222855672
"R111",1.55,0.075865,1.187559164,0.03677870730908,NA,2025-01-07,"pacoima","01.25",29.9230422770682,65.0796153294076,40.406,9.566,0.753,50.725,10.319,0.827333333333333,7.72,138.298166666667,0.0226666666666667,0.0012,8.45205479452055,"montane",2016-07-22,"older_burn",0.245002258379829,0.994156679901121,-0.286226589075093,-0.715263332982303
