"usgs_site","year","start_date","end_date","segment","date","value_std","Flow","quartile","before_count","after_count","total_burned","num_fires","days_since_last_fire","rs","int","slope","slopedir","ecoregion_code","ecoregion_name"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-12",3.2096,3.282576389,2,277,390,0,0,0,4.74301886866909,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-13",3.617286842,1.392729167,2,277,390,0,0,0,5.08557424070563,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-14",4.0484,0.5162152778,2,277,390,0,0,0,5.45629374811484,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-15",2.305512821,3078.889875,4,277,390,0,0,0,2.63231216161512,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-16",0.3290461538,441.7097637,4,277,390,0,0,0,1.19042892927357,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-17",0.1117520833,75.79354167,4,277,390,0,0,0,0.568929615329813,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-18",0.09028292683,29.53568056,3,277,390,0,0,0,0.600691975091024,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-26",0.7743,1832.08691,4,277,390,0,0,0,1.6762207524979,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-02-27",0.6313,2512.871444,4,277,390,0,0,0,1.38986703389884,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
"syca",2020,"2020-06-13","2020-06-13","before","2019-03-05",0.5976,353.1060139,4,277,390,0,0,0,1.84537899878001,-3.88600328143085,0.260073442565066,"positive","13.1","UPPER GILA MOUNTAINS"
