"fireid","fireYear","catchment","firearea","X11","X12","X21","X22","X23","X24","X31","X41","X42","X43","X52","X71","X81","X82","X90","X95","forest","shrub","grass","urban","ag","barren","event_id"
"CA3268211688619840421",1984,"USGS-11014000",6029728.15054075,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00299730533686554,47.6680966839065,52.035434537154,NA,NA,0.0354245125265918,0.193642122261735,0.00299730533686554,47.6680966839065,52.035434537154,0,0,0,"CA3268211688619840421"
"CA3470111707519840512",1984,"USGS-10262000",462428.411157056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7877553840698,67.1756134453512,NA,NA,NA,NA,0,32.7877553840698,67.1756134453512,0,0,0,"CA3470111707519840512"
"CA3470111707519840512",1984,"USGS-10263000",9922346.88222797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21319876050846,90.768382937151,NA,NA,NA,NA,0,9.21319876050846,90.768382937151,0,0,0,"CA3470111707519840512"
"NV3774511522219840531",1984,"USGS-09415850",62077277.4684317,NA,NA,NA,0.0162769621639003,NA,NA,0.0011445535619551,NA,NA,NA,70.7583851726173,29.2738599341286,NA,NA,NA,NA,0,70.7583851726173,29.2738599341286,0.0162769621639003,0,0.0011445535619551,"NV3774511522219840531"
"NV3774511522219840531",1984,"USGS-09415900",62077277.4684317,NA,NA,NA,0.0162769621639003,NA,NA,0.0011445535619551,NA,NA,NA,70.7583851726173,29.2738599341286,NA,NA,NA,NA,0,70.7583851726173,29.2738599341286,0.0162769621639003,0,0.0011445535619551,"NV3774511522219840531"
"NV3774511522219840531",1984,"USGS-09416000",62077277.4684317,NA,NA,NA,0.0162769621639003,NA,NA,0.0011445535619551,NA,NA,NA,70.7583851726173,29.2738599341286,NA,NA,NA,NA,0,70.7583851726173,29.2738599341286,0.0162769621639003,0,0.0011445535619551,"NV3774511522219840531"
"NV3774511522219840531",1984,"USGS-09419507",62077277.4684317,NA,NA,NA,0.0162769621639003,NA,NA,0.0011445535619551,NA,NA,NA,70.7583851726173,29.2738599341286,NA,NA,NA,NA,0,70.7583851726173,29.2738599341286,0.0162769621639003,0,0.0011445535619551,"NV3774511522219840531"
"NV3774511522219840531",1984,"USGS-09419515",62077277.4684317,NA,NA,NA,0.0162769621639003,NA,NA,0.0011445535619551,NA,NA,NA,70.7583851726173,29.2738599341286,NA,NA,NA,NA,0,70.7583851726173,29.2738599341286,0.0162769621639003,0,0.0011445535619551,"NV3774511522219840531"
"NV3696511626419840607",1984,"USGS-10251300",14078432.4274193,NA,NA,NA,NA,NA,NA,NA,NA,0.999134751286832,NA,8.36609409245236,90.5833442789891,NA,NA,0.04910967062039,0.0305882545015137,0.999134751286832,8.36609409245236,90.5833442789891,0,0,0,"NV3696511626419840607"
"NV3696511626419840607",1984,"USGS-10251330",14078432.4274193,NA,NA,NA,NA,NA,NA,NA,NA,0.999134751286832,NA,8.36609409245236,90.5833442789891,NA,NA,0.04910967062039,0.0305882545015137,0.999134751286832,8.36609409245236,90.5833442789891,0,0,0,"NV3696511626419840607"
"AZ3211710941719840616",1984,"USGS-09466500",195118.025049434,NA,NA,NA,NA,NA,NA,NA,NA,53.4501155597741,NA,46.4332164788737,NA,NA,NA,NA,NA,53.4501155597741,46.4332164788737,0,0,0,0,"AZ3211710941719840616"
"AZ3211710941719840616",1984,"USGS-09474000",195118.025049434,NA,NA,NA,NA,NA,NA,NA,NA,53.4501155597741,NA,46.4332164788737,NA,NA,NA,NA,NA,53.4501155597741,46.4332164788737,0,0,0,0,"AZ3211710941719840616"
"NV3729611669919840623",1984,"USGS-10251218",12769045.5491347,NA,NA,1.62313098666245,0.296524758166807,NA,NA,NA,NA,NA,NA,62.2151926623314,35.783944934737,NA,NA,0.0055999859625314,0.111999464480307,0,62.2151926623314,35.783944934737,1.91965574482926,0,0,"NV3729611669919840623"
"NV3729611669919840623",1984,"USGS-10251300",12769045.5491347,NA,NA,1.62313098666245,0.296524758166807,NA,NA,NA,NA,NA,NA,62.2151926623314,35.783944934737,NA,NA,0.0055999859625314,0.111999464480307,0,62.2151926623314,35.783944934737,1.91965574482926,0,0,"NV3729611669919840623"
"NV3729611669919840623",1984,"USGS-10251330",12769045.5491347,NA,NA,1.62313098666245,0.296524758166807,NA,NA,NA,NA,NA,NA,62.2151926623314,35.783944934737,NA,NA,0.0055999859625314,0.111999464480307,0,62.2151926623314,35.783944934737,1.91965574482926,0,0,"NV3729611669919840623"
"NV4152711874819840624",1984,"USGS-10353700",3373859.92534461,NA,NA,0.199523375063063,NA,NA,NA,0.339192338830711,NA,NA,NA,25.3464942001787,74.2481608620713,NA,NA,NA,NA,0,25.3464942001787,74.2481608620713,0.199523375063063,0,0.339192338830711,"NV4152711874819840624"
"NV4049111656919840626",1984,"USGS-10323400",9099342.04669766,NA,NA,0.285519042758821,1.32031641555984,NA,NA,NA,NA,NA,NA,20.2410515648526,78.2727147599731,NA,NA,NA,NA,0,20.2410515648526,78.2727147599731,1.60583545831866,0,0,"NV4049111656919840626"
"NV4049111656919840626",1984,"USGS-10323425",9099342.04669766,NA,NA,0.285519042758821,1.32031641555984,NA,NA,NA,NA,NA,NA,20.2410515648526,78.2727147599731,NA,NA,NA,NA,0,20.2410515648526,78.2727147599731,1.60583545831866,0,0,"NV4049111656919840626"
